Cluster.Number	GeneID	Symbol	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
2	53615	MBD3	10.657813074920863	10.224810656869268	8.423678354640806	5.722768178279827	NA	9.180626366203054	NA	NA	28.767991360922895	16.057912356425174	7.675395299200436	0.40918742552311366	NA	19.176551071471117	NA	NA	10.105143525261116	16.242155817866156	18.526453406059034	NA
2	85509	MBD3L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	57708	MIER1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.47372180280829	NA	NA	NA	3.9012733089794596	NA	NA
2	54531	MIER2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	166968	MIER3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	4335	MNT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	9112	MTA1	16.886725434031057	28.539849580072087	NA	NA	7.952329487400871	NA	NA	NA	14.209650007410417	21.834242658474253	NA	NA	24.99118035551484	12.747377219715267	NA	NA	19.75945455700839	4.744705089638438	NA	NA
2	9219	MTA2	NA	69.61913878519069	18.108051795951233	24.96435860749471	NA	9.292327064249914	NA	NA	18.954486811214977	NA	26.517700368851575	7.396362690104122	12.311160662195046	9.634396434659319	NA	NA	13.743134755127608	15.946454723032232	NA	17.37959054
2	57504	MTA3	NA	NA	31.609459048614973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	4084	MXD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	83463	MXD3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	57649	PHF12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.417330143600733	15.805836082438816	NA	NA
2	51105	PHF20L1	NA	NA	NA	27.740883128971586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.799686089770795	12.31057704179046	NA	NA
2	51317	PHF21A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	112885	PHF21B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	79142	PHF23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.46004003609781	NA	NA	12.517997480295028	NA	NA	NA
2	5928	RBBP4	20.761075673559976	13.345654497900005	8.97245064783521	5.215904845780414	11.997833988291305	1.6568915058428728	7.696825415548131	7.451151233240786	3.1950914096376692	3.1133583993977894	1.8722126370529124	7.647275366177979	3.7982559739795	25.74292238583779	17.729140041804026	6.1482771265395355	8.474211942342489	5.978664231942967	11.411914651908788	18.08548179
2	5931	RBBP7	9.725957161241597	25.27246259264819	7.943929940478858	1.4606567590498787	3.754777901474847	6.1390558783398514	2.1327402084409544	5.955861458920687	14.274620816284667	4.9089762251499645	0.0652696268328135	NA	4.112727632620946	20.848868434473207	8.691457737690197	5.8026451941874555	7.76780741203974	3.155565313438662	27.11371435395721	8.466969378
2	283248	RCOR2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	79595	SAP130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.300451857752886	NA	NA	NA	NA	NA	NA
2	8819	SAP30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6441054324825854	NA	NA
2	79685	SAP30L	NA	NA	NA	NA	21.154624538505328	12.894729036959754	NA	NA	35.414146608781486	NA	NA	NA	NA	11.270419032306524	NA	NA	30.794209411150803	3.5518145086317565	NA	NA
2	51460	SFMBT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.215811288777353	NA	NA
2	25942	SIN3A	NA	NA	22.76047520354259	NA	NA	25.53756218498325	8.935807251897591	NA	6.896984825897974	NA	NA	NA	NA	7.5848905123254955	NA	NA	11.053832934022918	19.22330415692153	NA	23.1076143
2	23309	SIN3B	NA	NA	NA	10.293835925692285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	8467	SMARCA5	75.35367433969802	NA	3.8949802775759856	NA	2.470986900540005	4.332542213349788	NA	NA	30.466413708181342	33.473482166580965	NA	23.26935101409854	18.435920659795492	78.07719820137808	NA	NA	14.8175744443924	10.605860813318737	18.269167994388567	76.40990268
2	64426	SUDS3	NA	NA	NA	NA	NA	NA	NA	NA	4.262407377038616	NA	NA	NA	NA	NA	NA	NA	NA	4.517034933456885	NA	NA
2	6941	TCF19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	84629	TNRC18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	55809	TRERF1	NA	NA	NA	13.993964409608703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	140685	ZBTB46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	51222	ZNF219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	23090	ZNF423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	57473	ZNF512B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.356243745393321	NA	NA	NA
2	25925	ZNF521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
